u,i,ts,label,idx
185,165,0.0,1,343
185,7,0.0,1,344
185,9,0.0,1,345
185,20,0.0,1,346
185,30,0.0,1,347
185,20,0.0,1,348
185,165,0.0,1,349
185,20,0.0,1,350
185,165,0.0,1,351
185,7,0.0,1,352
185,20,0.0,1,353
185,20,0.0,1,354
185,20,0.0,1,355
185,20,0.0,1,356
185,216,0.0,1,357
185,165,0.0,1,358
185,20,0.0,1,359
185,165,0.0,1,360
185,165,0.0,1,361
185,20,0.0,1,362
185,332,0.0,1,363
185,20,0.0,1,364
185,78,0.0,3,365
185,20,0.0,1,366
185,20,0.0,1,367
185,20,0.0,1,368
185,2,0.0,3,369
185,20,0.0,1,370
185,165,0.0,1,371
185,165,0.0,1,372
185,165,0.0,1,373
185,20,0.0,1,374
185,20,0.0,1,375
185,20,0.0,1,376
461,461,0.0,3,377
461,461,0.0,3,378
357,116,0.0,1,379
357,20,0.0,1,380
357,116,0.0,3,381
357,116,0.0,1,382
357,116,0.0,1,383
357,116,0.0,1,384
357,117,0.0,1,385
357,193,0.0,1,386
357,567,0.0,1,387
357,278,0.0,1,388
357,117,0.0,1,389
357,117,0.0,1,390
462,29,0.0,1,391
462,29,0.0,1,392
462,29,0.0,1,393
462,29,0.0,1,394
462,29,0.0,1,395
462,29,0.0,1,396
462,29,0.0,1,397
462,29,0.0,1,398
462,29,0.0,1,399
462,29,0.0,1,400
462,29,0.0,1,401
462,29,0.0,1,402
462,29,0.0,1,403
462,29,0.0,1,404
462,2,0.0,1,405
462,29,0.0,1,406
462,29,0.0,1,407
462,281,0.0,1,408
462,281,0.0,1,409
462,281,0.0,1,410
462,29,0.0,1,411
462,29,0.0,1,412
462,281,0.0,1,413
462,430,0.0,1,414
462,281,0.0,1,415
462,281,0.0,1,416
462,281,0.0,1,417
462,281,0.0,1,418
462,281,0.0,1,419
462,281,0.0,1,420
462,553,0.0,1,421
462,29,0.0,1,422
462,418,0.0,1,423
462,29,0.0,1,424
462,98,0.0,1,425
462,400,0.0,1,426
462,391,0.0,1,427
462,149,0.0,1,428
462,319,0.0,1,429
462,554,0.0,1,430
